wikipedia	id_geonames	lat	lon	name_modern	name_historical	country	country_ISO3	region
https://de.wikipedia.org/wiki/Budi%C5%A1ov_nad_Budi%C5%A1ovkou	3078469	49.7951	17.6297	Budišov nad Budišovkou	Bautsch	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Bene%C5%A1ov_nad_%C4%8Cernou	3079501	48.7294	14.6274	Benešov nad Černou	Deutsch Beneschau	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Horn%C3%AD_Bene%C5%A1ov	3075451	49.9668	17.6026	Horní Benešov	Bennisch	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Bene%C5%A1ov_nad_Plou%C4%8Dnic%C3%AD	3079500	50.7416	14.3124	Benešov nad Ploučnicí	Bensen	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Ka%C5%A1persk%C3%A9_Hory	3073769	49.1429	13.5562	Kašperské Hory	Bergreichenstein	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Horn%C3%AD_M%C4%9Bsto	3075296	49.9085	17.2111	Horní Město	Bergstadt	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Bernartice_u_Trutnova	3079472	50.6447	15.9658	Bernartice u Trutnova	Bernsdorf	Czech Republic	CZE	
https://de.wikipedia.org/wiki/B%C3%ADlina	3079348	50.5485	13.7754	Bílina	Bilin	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Hor%C5%A1ovsk%C3%BD_T%C3%BDn	3075112	49.5297	12.9441	Horšovský Týn	Bischofteinitz	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Podmokly_(D%C4%9B%C4%8D%C3%ADn)	3068031	50.7667	14.2000	Podmokly (Děčín)	Bodenbach an der Elbe	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Bezd%C4%9Bz	3079407	50.5336	14.7220	Bezděz	Schloßbösig	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Brandov	3078840	50.632	13.3907	Brandov	Brandau	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Brand%C3%BDs_nad_Labem-Star%C3%A1_Boleslav	3078838	50.1836	14.6724	Brandýs nad Labem-Stará Boleslav	Brandeis an der Elbe-Altbunzlau	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Broumov	3078577	50.5857	16.3318	Broumov	Braunau in Böhmen	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Brumovice_u_Opavy	3078547	50.0153	17.7496	Brumovice u Opavy	Braunsdorf	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Br%C3%BCnn	3078610	49.1952	16.6080	Brno	Brünn	Czech Republic	CZE	
https://de.wikipedia.org/wiki/B%C5%99ezov%C3%A1_nad_Svitavou	3078659	49.6442	16.5180	Březová nad Svitavou	Brüsau	Czech Republic	CZE	
