id_geonames	lat	lon	region	name_modern	name_historical
5370984	39.1457	-121.5914	america		Marysville
5373997	38.3005	-120.7063	america		Mokelumne Hill
5378538	37.8044	-122.2708	america		Oakland
5389489	38.5816	-121.4944	america		Sacramento
5391959	37.7749	-122.4194	america	dt. San Franzisko	San Francisco
5392171	37.3394	-121.89496	america	St. Joseph	San Jose [José]
5399020	37.9577	-121.2908	america		Stockton
5419384	39.7392	-104.9847	america		Denver
5514428	39.3096	-119.6496	america		Virginia City
5746545	45.5235	-122.6762	america		Portland
5750162	44.9429	-123.0351	america		Salem
5780993	40.7608	-111.8911	america		Salt Lake City
5809844	47.6062	-122.3321	america		Seattle
5811696	47.6597	-117.4291	america		Spokane
5812944	47.2529	-122.4443	america		Tacoma
6058560	42.9834	-81.2330	america		London (Ontario)
6138517	45.2708	-66.0562	america		Saint John (New Brunswick)
6158357	42.7736	-81.1804	america	St. Thomas	Saint Thomas (Ontario)
11903640	47.0692	15.4578	austria	Sankt Leonhard (Graz)	Sankt Leonhard bei Graz
11903641	47.1139	15.4235	austria	Andritz (Graz)	Andritz
2608545	47.5000	13.7500	austria	Stein an der Donau (Krems)	Stein
2760421	48.5744	15.1716	austria	Zwettl-Niederösterreich	Zwettl
2760610	47.1833	14.7500	austria		Zeltweg
2760634	47.3231	12.7984	austria		Zell am See
2760772	48.1667	15.0833	austria	Ybbs an der Donau	Ybbs
2760854	47.4891	12.0617	austria		Wörgl
2760887	48.3833	16.5167	austria	Wolkersdorf im Weinviertel	Wolkersdorf
2760903	48.1067	13.6727	austria	Wolfsegg am Hausruck	Wolfsegg
2760908	46.8333	14.8333	austria		Wolfsberg
2761096	47.7222	14.3276	austria		Windischgarsten
2761149	47.7030	16.0333	austria	Wimpassing im Schwarzatale	Wimpassing
2761186	48.1057	15.6054	austria	Wilhelmsburg (in Niederösterreich)	Wilhelmsburg
2761208	46.8833	15.5167	austria		Wildon
2761314	48.1333	15.1333	austria		Wieselburg
2761353	47.8049	16.2320	austria		Wiener Neustadt
2761369	48.2085	16.3721	austria		Wien
2761524	48.1667	14.0333	austria		Wels
2761531	47.2167	15.6167	austria		Weiz
2761538	48.7000	14.8833	austria		Weitra
2761543	48.7810	15.8135	austria		Weitersfeld
2761571	47.1541	14.7388	austria	Weißkirchen in Steiermark	Weißkirchen
2761615	47.9821	16.0394	austria	Weissenbach an der Triesting	Weißenbach
2761739	48.2074	16.2145	austria		Weidlingau/Wien
2761741	48.2910	16.3087	austria		Weidling [heute Gem. Klosterneuburg]
2761880	47.5272	15.4810	austria	Wartberg im Mürztal	Wartberg
2761945	48.1667	14.7167	austria	Wallsee-Sindelburg	Wallsee
2762024	47.8685	16.0515	austria		Waldegg
2762077	47.9600	14.7744	austria		Waidhofen an der Ybbs
2762079	48.8167	15.2833	austria		Waidhofen an der Thaya
2762150	48.1211	16.3404	austria		Vösendorf
2762157	47.1106	14.1694	austria		Murau
2762315	46.6622	14.6344	austria		Völkermarkt
2762326	47.0500	15.1000	austria		Voitsberg
2762341	48.0025	13.4838	austria		Vöcklamarkt
2762343	48.0028	13.6565	austria		Vöcklabruck
2762372	46.6103	13.8558	austria		Villach
2762525	47.2000	14.4500	austria		Unzmarkt
2762908	47.9723	14.2647	austria		Grünburg Grünberg
2763144	47.8052	13.4894	austria	Unterach am Attersee	Unterach
2763209	47.2253	15.2362	austria		Übelbach
2763266	48.3283	16.0586	austria	Tulln an der Donau	Tulln
2763332	47.4252	15.0068	austria		Trofaiach
2763700	47.8500	16.2333	austria		Theresienfeld
2763749	47.8414	13.2533	austria		Thalgau
2763826	47.9500	16.2833	austria		Teesdorf
2763888	47.95	16.30	austria		Tattendorf
2764279	48.3833	16.2167	austria		Stockerau
2764359	48.0427	14.4213	austria		Steyr
2764525	47.9708	14.2694	austria		Steinbach an der Steyr
2764556	48.0697	15.0480	austria		Steinakirchen am Forst
2764561	47.8705	16.2028	austria	Wöllersdorf-Steinabrückl	Steinabrückl
2764706	46.8944	15.2672	austria		Stainz
2764721	48.0833	13.8667	austria	Stadl-Paura	Paura
2764783	48.3656	15.4142	austria		Spitz
2764786	46.8000	13.5000	austria		Spittal an der Drau
2764831	48.1703	16.2847	austria	Speising (Wien)	Speising
2765080	48.0434	14.3094	austria		Sierning
2765080	48.04690	14.33370	austria	Sierninghofen (Sierning)	Sierninghofen
2765347	48.2734	14.5847	austria		Schwertberg
2765388	48.1333	16.4667	austria		Schwechat
2765390	47.3517	11.7101	austria		Schwaz
2765538	48.0694	16.5796	austria		Schwadorf
2765602	48.7833	15.0667	austria		Schrems
2765637	47.6568	15.8725	austria		Schottwien
2765730	47.9345	16.2538	austria	Schönau an der Triesting	Schönau
2765961	47.3929	13.6870	austria		Schladming
2766047	47.1504	14.4128	austria		Scheifling
2766080	48.0047	15.1682	austria		Scheibbs
2766155	48.4529	13.4372	austria		Schärding
2766340	47.7393	13.4467	austria	Sankt Wolfgang im Salzkammergut	Sankt Wolfgang
2766359	46.7681	14.3603	austria	Sankt Veit an der Glan	Sankt Veit
2766429	48.2000	15.6333	austria		Sankt Pölten
2766495	47.3384	15.0178	austria	Sankt Michael in Obersteiermark	Sankt Michael
2766725	47.6863	14.6171	austria		Sankt Gallen (Steiermark)
2766772	46.7683	14.8199	austria	St. Andrä im Lavanttal	Sankt Andrä
2766824	47.7994	13.0440	austria		Salzburg
2767034	47.5253	14.3575	austria		Rottenmann
2767280	48.5728	13.9883	austria	Rohrbach-Berg	Rohrbach
2767471	48.2112	13.4886	austria		Ried
2767484	48.3024	13.6349	austria		Riedau
2767521	48.7571	15.9549	austria		Retz
2767777	47.6951	15.8457	austria	Reichenau an der Rax	Reichenau
2767902	47.4394	11.8941	austria	Rattenberg (in Tirol)	Rattenberg
2768098	47.3833	13.4500	austria		Radstadt
2768119	46.6881	15.9881	austria	Bad Radkersburg	(Bad) Radkersburg
2768177	48.8500	15.5000	austria	Raabs an der Thaya	Raabs
2768180	48.3524	13.6469	austria	Raab (Oberösterreich)	Raab
2768232	48.2077	16.1754	austria		Purkersdorf
2768236	48.0584	15.1348	austria	Purgstall an der Erlauf	Purgstall
2768348	48.1833	16.0833	austria		Pressbaum
2768468	47.9582	16.0948	austria		Pottenstein
2768472	47.9000	16.3833	austria		Pottendorf
2768497	46.6364	14.1464	austria	Pörtschach am Wörther See	Pörtschach
2768546	47.2167	14.5833	austria		Pöls
2768582	47.3000	15.8333	austria		Pöllau
2768616	48.3173	15.2041	austria		Pöggstall
2768627	48.2000	15.2000	austria		Pöchlarn
2768746	47.7167	16.1833	austria		Pitten
2768996	48.3453	13.7721	austria		Peuerbach
2769009	47.9602	14.0169	austria		Pettenbach
2769059	48.1873	15.0881	austria	Persenbeug-Gottsdorf	Persenbeug
2769068	47.8976	15.9602	austria		Pernitz
2769105	48.2500	14.6333	austria		Perg
2769110	48.1194	16.2661	austria		Perchtoldsdorf
2769121	48.2017	16.3108	austria	Breitensee (Wien)	Breitensee
2769573	47.2500	14.4833	austria	Oberzeiring (Pölstal)	Oberzeiring
2769865	48.4640	14.2228	austria		Oberneukirchen
2769900	48.3213	13.3343	austria	Obernberg am Inn	Obernberg
2770113	48.1504	15.5453	austria	Ober-Grafendorf	Obergrafendorf
2770400	48.2590	16.3645	austria	Nussdorf (Wien)	Nussdorf (Wien)
2770634	48.0312	14.3377	austria		Letten (Sierning/Neuzeug)
2770634	48.0500	14.3333	austria	Neuzeug (Sierning)	Neuzeug (Sierning)
2770711	47.7210	16.0811	austria		Neunkirchen
2770720	47.0740	14.4273	austria		Neumarkt in Steiermark
2770722	48.4282	14.4844	austria		Neumarkt im Mühlkreis
2770730	48.1975	15.9022	austria		Neulengbach
2770787	48.4833	13.9965	austria		Neufelden
2770844	47.6642	15.5723	austria	Neuberg an der Mürz	Neuberg
2770993	47.6066	15.6723	austria		Mürzzuschlag
2771010	46.7081	15.7747	austria		Mureck
2771277	47.8565	13.3491	austria		Mondsee
2771299	47.8872	14.2582	austria		Molln
2771305	48.0258	16.3051	austria	Möllersdorf (Traiskirchen)	Möllersdorf
2771335	48.0861	16.2892	austria		Mödling
2771408	47.5556	13.9319	austria	Bad Mitterndorf	Mitterndorf
2771557	48.5700	16.5767	austria		Mistelbach
2771619	47.8776	14.1336	austria	Micheldorf in Oberösterreich	Micheldorf
2771682	48.2274	15.3319	austria		Melk
2771708	48.2081	13.4353	austria		Mehrnbach [bei Ried]
2771750	47.8026	13.0188	austria	Maxglan (Salzburg)	Maxglan (Salzburg)
2771760	48.2411	14.5196	austria		Mauthausen
2771761	47.4000	14.8333	austria	Mautern an der Donau	Mautern
2771779	48.1917	13.1334	austria		Mauerkirchen
2771781	48.1507	16.2686	austria	Mauer (Wien)	Mauer (Wien)
2771801	48.4000	16.7000	austria	Matzen-Raggendorf	Matzen
2771868	48.4519	16.5983	austria		Bad Pirawarth
2771869	47.8736	16.1251	austria	Markt Piesting	Piesting
2771871	48.0235	15.6028	austria	Lilienfeld, Ortsteil Marktl	Marktl
2771970	48.2622	16.9105	austria		Marchegg
2772003	47.9667	16.6000	austria	Mannersdorf am Leithagebirge	Mannersdorf
2772186	47.8612	15.0300	austria		Lunz
2772400	48.3064	14.2861	austria		Linz
2772480	47.5667	14.2333	austria		Liezen
2772484	48.1333	16.3000	austria		Liesing
2772505	46.8289	12.7690	austria		Lienz
2772561	47.2483	9.6093	austria		Feldkirch-Levis
2772645	47.9280	16.2165	austria		Leobersdorf
2772649	47.3765	15.0914	austria		Leoben
2772709	47.9335	16.4792	austria	Leithaprodersdorf	Bad Leithaprodersdorf
2772753	46.7816	15.5384	austria		Leibnitz
2772810	48.0683	16.3561	austria		Laxenburg
2772998	48.3043	16.3614	austria		Langenzersdorf
2773010	48.4667	15.6667	austria		Langenlois
2773110	48.0928	13.8745	austria		Lambach
2773229	48.7167	16.3833	austria		Laa an der Thaya
2773300	47.5833	12.1667	austria		Kufstein
2773493	48.2674	14.8065	austria		Bad Kreuzen
2773538	48.0529	14.1292	austria		Kremsmünster
2773549	48.4092	15.6142	austria		Krems
2773698	48.3500	16.3333	austria		Korneuburg
2773848	47.0667	15.0833	austria		Köflach
2773887	47.2167	14.8167	austria		Knittelfeld
2773913	48.3052	16.3252	austria		Klosterneuburg
2774077	48.2500	14.3167	austria	Kleinmünchen (Linz)	Kleinmünchen
2774326	46.6247	14.3053	austria		Klagenfurt
2774347	47.4464	12.3922	austria		Kitzbühel
