wikipedia	id_geonames	lat	lon	name_modern	name_historical	country	country_ISO3	region
https://de.wikipedia.org/wiki/Giurgiu	677106	43.8866	25.9627	Giurgiu	Giurgiu	Romania	ROU	
https://de.wikipedia.org/wiki/Galați	677697	45.4369	28.0503	Galați	Galatz	Romania	ROU	
https://de.wikipedia.org/wiki/Focșani	678015	45.7000	27.1833	Focșani	Focsani	Romania	ROU	
https://de.wikipedia.org/wiki/Drobeta_Turnu_Severin	678817	44.6269	22.6529	Drobeta-Turno Severin	Turn-Severin	Romania	ROU	
https://de.wikipedia.org/wiki/Detta_(Kreis_Timiș)	679456	45.3889	21.2244	Deta	Detta	Romania	ROU	
https://de.wikipedia.org/wiki/Craiova	680332	44.3167	23.8000	Craiova	Craiova	Romania	ROU	
https://de.wikipedia.org/wiki/Constanța	680963	44.1807	28.6343	Constanța	Konstanza	Romania	ROU	
https://de.wikipedia.org/wiki/Comloșu_Mare	680992	45.8906	20.6272	Comloş	Komlosch	Romania	ROU	
https://de.wikipedia.org/wiki/Cluj-Napoca	681290	46.7667	23.6000	Cluj-Napoca	Klausenburg	Romania	ROU	
https://de.wikipedia.org/wiki/Cernavod%C4%83	682321	44.3396	28.0327	Cernavodă	Cernavoda	Romania	ROU	
https://de.wikipedia.org/wiki/Caransebe%C8%99	682729	45.4167	22.2167	Caransebeș	Karansebesch	Romania	ROU	
https://de.wikipedia.org/wiki/Buz%C4%83u	683123	45.1500	26.8333	Buzău	Buzau	Romania	ROU	
https://de.wikipedia.org/wiki/Bukarest	683506	44.4323	26.1063	București	Bukarest	Romania	ROU	
https://de.wikipedia.org/wiki/Orăștie	671757	45.8333	23.2000	Broos	Orăştie	Romania	ROU	
https://de.wikipedia.org/wiki/Bra%C8%99ov	683844	45.6486	25.6061	Braşov	Kronstadt	Romania	ROU	
https://de.wikipedia.org/wiki/Br%C4%83ila	683902	45.2715	27.9743	Brăila	Braila	Romania	ROU	
https://de.wikipedia.org/wiki/Boc%C8%99a	684490	45.3733	21.7092	Bocșa	Bokschan	Romania	ROU	
https://de.wikipedia.org/wiki/Bistri%C8%9Ba	684657	47.1332	24.5001	Bistrița	Bistritz	Romania	ROU	
https://de.wikipedia.org/wiki/Băile_Herculane	685796	44.8797	22.4125	Băile Herculane	Herculesbad	Romania	ROU	
https://de.wikipedia.org/wiki/Baia_Mare	685826	47.6573	23.5681	Baia Mare	Groß-Neustadt	Romania	ROU	
https://de.wikipedia.org/wiki/Aradul_Nou	686250	46.1468	21.3243	Aradul Nou (Arad)	Neu-Arad	Romania	ROU	
https://de.wikipedia.org/wiki/Arad_(Rum%C3%A4nien)	686254	46.1833	21.3167	Arad	Arad	Romania	ROU	
https://de.wikipedia.org/wiki/Alba_Iulia	686578	46.0667	23.5833	Alba Iulia	Karlsburg	Romania	ROU	
https://de.wikipedia.org/wiki/Zrenjanin	783814	45.3836	20.3819	Zrenjanin	Nagybecskerek	Serbia	SRB	
https://de.wikipedia.org/wiki/Zemun	783920	44.8458	20.4012	Zemun (Belgrad)	Semlin	Serbia	SRB	
https://de.wikipedia.org/wiki/Vr%C5%A1ac	784136	45.1167	21.3036	Vršac	Werschetz	Serbia	SRB	
https://de.wikipedia.org/wiki/Titel_(Stadt)	785062	45.2061	20.2944	Titel	Titel	Serbia	SRB	
https://de.wikipedia.org/wiki/Temerin	3189166	45.4086	19.8892	Temerin	Temerin	Serbia	SRB	
https://de.wikipedia.org/wiki/Subotica	3189595	46.1000	19.6667	Subotica	Maria-Theresiopel	Serbia	SRB	
https://de.wikipedia.org/wiki/Srpski_Itebej	785600	45.5672	20.7135	Srpski Itebej	Ittebe	Serbia	SRB	
